 # H    M
 -3.0000   -1.001000
 -2.9000   -1.001000
 -2.8000   -1.001000
 -2.7000   -1.001000
 -2.6000   -1.001000
 -2.5000   -1.001000
 -2.4000   -1.001000
 -2.3000   -1.001000
 -2.2000   -1.001000
 -2.1000   -1.001000
 -2.0000   -1.001000
 -1.9000   -1.001000
 -1.8000   -1.001000
 -1.7000   -1.001000
 -1.6000   -1.001000
 -1.5000   -1.001000
 -1.4000   -1.001000
 -1.3000   -1.001000
 -1.2000   -1.001000
 -1.1000   -1.001000
 -1.0000   -1.001000
 -0.9000   -1.001000
 -0.8000   -1.001000
 -0.7000   -1.001000
 -0.6000   -1.001000
 -0.5000   -1.001000
 -0.4000   -1.001000
 -0.3000   -1.001000
 -0.2000   -1.001000
 -0.1000   -1.001000
  0.0000   -1.001000
  0.1000   -1.001000
  0.2000   -1.001000
  0.3000   -1.000999
  0.4000   -1.000999
  0.5000   -1.000997
  0.6000   -1.000997
  0.7000   -1.000998
  0.8000   -1.000996
  0.9000   -1.000988
  1.0000   -1.000987
  1.1000   -1.000981
  1.2000   -0.059598
  1.3000    1.001000
  1.4000    1.001000
  1.5000    1.001000
  1.6000    1.001000
  1.7000    1.001000
  1.8000    1.001000
  1.9000    1.001000
  2.0000    1.001000
  2.1000    1.001000
  2.2000    1.001000
  2.3000    1.001000
  2.4000    1.001000
  2.5000    1.001000
  2.6000    1.001000
  2.7000    1.001000
  2.8000    1.001000
  2.9000    1.001000
  3.0000    1.001000
  2.9000    1.001000
  2.8000    1.001000
  2.7000    1.001000
  2.6000    1.001000
  2.5000    1.001000
  2.4000    1.001000
  2.3000    1.001000
  2.2000    1.001000
  2.1000    1.001000
  2.0000    1.001000
  1.9000    1.001000
  1.8000    1.001000
  1.7000    1.001000
  1.6000    1.001000
  1.5000    1.001000
  1.4000    1.001000
  1.3000    1.001000
  1.2000    1.001000
  1.1000    1.001000
  1.0000    1.001000
  0.9000    1.001000
  0.8000    1.001000
  0.7000    1.001000
  0.6000    1.001000
  0.5000    1.001000
  0.4000    1.001000
  0.3000    1.001000
  0.2000    1.001000
  0.1000    1.001000
  0.0000    1.001000
 -0.1000    1.001000
 -0.2000    1.000999
 -0.3000    1.000999
 -0.4000    1.000999
 -0.5000    1.000998
 -0.6000    1.000997
 -0.7000    1.000992
 -0.8000    1.000994
 -0.9000    1.000990
 -1.0000    1.000986
 -1.1000    1.000979
 -1.2000   -0.206253
 -1.3000   -1.001000
 -1.4000   -1.001000
 -1.5000   -1.001000
 -1.6000   -1.001000
 -1.7000   -1.001000
 -1.8000   -1.001000
 -1.9000   -1.001000
 -2.0000   -1.001000
 -2.1000   -1.001000
 -2.2000   -1.001000
 -2.3000   -1.001000
 -2.4000   -1.001000
 -2.5000   -1.001000
 -2.6000   -1.001000
 -2.7000   -1.001000
 -2.8000   -1.001000
 -2.9000   -1.001000
 -3.0000   -1.001000
